UserID,SurveyID,1,2,89,3,4,50,51,5,8,9,90,98,104,91,17,10,11,15,16,56,83,85,58,59,64,65,78,115,116,48,49
1,2014,37,Female,,United States,Illinois,,,-1,6-25,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
2,2014,44,Male,,United States,Indiana,,,-1,More than 1000,0,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
3,2014,32,Male,,Canada,-1,,,-1,6-25,1,No,No,,No,,No,Don't know,,,,,,,,,,,,,,
4,2014,31,Male,,United Kingdom,-1,,,-1,26-100,1,Yes,Yes,,No,,No,No,,,,,,,,,,,,,,
5,2014,31,Male,,United States,Texas,,,-1,100-500,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
6,2014,33,Male,,United States,Tennessee,,,-1,6-25,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
7,2014,35,Female,,United States,Michigan,,,-1,1-5,1,Maybe,Maybe,,Don't know,,No,No,,,,,,,,,,,,,,
8,2014,39,Male,,Canada,-1,,,-1,1-5,1,No,No,,No,,No,Yes,,,,,,,,,,,,,,
9,2014,42,Female,,United States,Illinois,,,-1,100-500,1,No,Maybe,,No,,Yes,No,,,,,,,,,,,,,,
10,2014,23,Male,,Canada,-1,,,-1,26-100,1,No,No,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
11,2014,31,Male,,United States,Ohio,,,-1,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
12,2014,29,Male,,Bulgaria,-1,,,-1,100-500,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
13,2014,42,Female,,United States,California,,,-1,26-100,0,Yes,Yes,,No,,Yes,Don't know,,,,,,,,,,,,,,
14,2014,36,Male,,United States,Connecticut,,,-1,500-1000,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
15,2014,27,Male,,Canada,-1,,,-1,6-25,1,No,No,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
16,2014,29,Female,,United States,Illinois,,,-1,26-100,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
17,2014,23,Male,,United Kingdom,-1,,,-1,26-100,1,No,Maybe,,No,,Don't know,Don't know,,,,,,,,,,,,,,
18,2014,32,Male,,United States,Tennessee,,,-1,6-25,1,No,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
